date,year,month,incorporation_by_company_split_all_companies,corporate_reorganization_all_companies,dissolution_by_merger_all_companies,incorporation_by_merger_all_companies,completion_of_liquidation_all_companies,special_liquidation_all_companies,capital_increase_by_company_split_all_companies,capital_decrease_by_company_split_all_companies,bankruptcy_or_civil_rehabilitation_all_companies,registrations_total_all_companies,dissolution_all_companies,incorporation_all_companies,incorporation_by_company_split_kabushiki,corporate_reorganization_kabushiki,dissolution_by_merger_kabushiki,incorporation_by_merger_kabushiki,completion_of_liquidation_kabushiki,special_liquidation_kabushiki,capital_increase_by_company_split_kabushiki,capital_decrease_by_company_split_kabushiki,bankruptcy_or_civil_rehabilitation_kabushiki,registrations_total_kabushiki,dissolution_kabushiki,incorporation_kabushiki,incorporation_by_company_split_tokurei_yugen,corporate_reorganization_tokurei_yugen,dissolution_by_merger_tokurei_yugen,incorporation_by_merger_tokurei_yugen,completion_of_liquidation_tokurei_yugen,special_liquidation_tokurei_yugen,capital_increase_by_company_split_tokurei_yugen,capital_decrease_by_company_split_tokurei_yugen,bankruptcy_or_civil_rehabilitation_tokurei_yugen,registrations_total_tokurei_yugen,dissolution_tokurei_yugen,incorporation_tokurei_yugen,incorporation_by_company_split_gomei,corporate_reorganization_gomei,dissolution_by_merger_gomei,incorporation_by_merger_gomei,completion_of_liquidation_gomei,special_liquidation_gomei,capital_increase_by_company_split_gomei,capital_decrease_by_company_split_gomei,bankruptcy_or_civil_rehabilitation_gomei,registrations_total_gomei,dissolution_gomei,incorporation_gomei,incorporation_by_company_split_goshi,corporate_reorganization_goshi,dissolution_by_merger_goshi,incorporation_by_merger_goshi,completion_of_liquidation_goshi,special_liquidation_goshi,capital_increase_by_company_split_goshi,capital_decrease_by_company_split_goshi,bankruptcy_or_civil_rehabilitation_goshi,registrations_total_goshi,dissolution_goshi,incorporation_goshi,incorporation_by_company_split_godo,corporate_reorganization_godo,dissolution_by_merger_godo,incorporation_by_merger_godo,completion_of_liquidation_godo,special_liquidation_godo,capital_increase_by_company_split_godo,capital_decrease_by_company_split_godo,bankruptcy_or_civil_rehabilitation_godo,registrations_total_godo,dissolution_godo,incorporation_godo
2011-10-01,2011,10,112,11,508,0,2864,50,11,2,1681,96016,3426,7397,112,8,429,0,1223,50,11,2,994,73476,1496,6563,,3,71,,1544,,,0,676,20438,1798,,0,,0,0,3,,,,0,83,8,6,0,,4,0,50,,,,7,418,39,33,0,,4,0,44,,0,0,4,1601,85,795
2011-11-01,2011,11,93,11,267,0,2644,46,5,1,1794,90314,2950,7415,93,11,199,0,1174,46,5,1,1096,69209,1355,6599,,0,65,,1388,,,0,680,18947,1495,,0,,1,0,4,,,,2,83,5,4,0,,0,0,30,,,,11,345,27,15,0,,2,0,48,,0,0,5,1730,68,797
2011-12-01,2011,12,93,5,264,0,3084,43,7,1,1674,93828,2680,8456,93,5,199,0,1339,43,7,1,1060,73252,1289,7567,,0,60,,1641,,,0,606,18357,1276,,0,,0,0,7,,,,1,94,6,6,0,,4,0,42,,,,6,430,34,22,0,,1,0,55,,0,0,1,1695,75,861
2012-01-01,2012,1,63,17,377,0,2234,57,7,1,1711,78351,3114,7345,63,17,320,0,963,57,7,1,1098,58654,1331,6489,,0,49,,1170,,,0,598,17518,1614,,0,,0,0,8,,,,1,74,9,3,0,,3,0,22,,,,10,375,61,8,0,,5,0,71,,0,0,4,1730,99,845
2012-02-01,2012,2,76,10,237,0,2330,47,7,1,1668,79502,2694,7052,75,10,173,0,1048,47,6,1,1048,59196,1163,6271,,0,55,,1183,,,0,608,18216,1414,,0,,2,0,7,,,,0,80,9,5,0,,1,0,38,,,,9,381,41,10,1,,6,0,54,,1,0,3,1629,67,766
2012-03-01,2012,3,79,23,342,0,2147,62,11,1,1892,85256,2639,7384,79,23,271,0,999,62,11,0,1196,65376,1208,6508,,0,67,,1049,,,1,678,17657,1330,,0,,1,0,6,,,,1,80,4,6,0,,0,0,18,,,,12,336,36,16,0,,3,0,75,,0,0,5,1807,61,854
2012-04-01,2012,4,109,21,872,1,2394,45,10,1,1606,106236,4166,9018,109,19,769,1,1042,45,10,1,1029,82515,1848,8114,,2,94,,1255,,,0,570,21351,2155,,0,,0,0,5,,,,0,73,7,4,0,,4,0,35,,,,5,423,56,10,0,,5,0,57,,0,0,2,1874,100,890
2012-05-01,2012,5,52,11,236,0,2384,33,1,0,1765,98992,3282,8196,51,11,182,0,1062,33,1,0,1135,75699,1423,7297,,0,52,,1207,,,0,611,20827,1731,,0,,0,0,10,,,,4,94,6,3,0,,1,0,44,,,,12,461,56,11,1,,1,0,61,,0,0,3,1911,66,885
2012-06-01,2012,6,71,6,241,0,2601,42,2,0,1652,117864,3313,7378,71,4,184,0,1091,42,2,0,1001,95087,1406,6493,,2,51,,1405,,,0,645,20499,1782,,0,,2,0,6,,,,0,91,11,5,0,,2,0,29,,,,4,358,47,9,0,,2,0,70,,0,0,2,1829,67,871
2012-07-01,2012,7,84,11,424,1,2870,35,12,2,1776,130270,3723,8026,83,11,359,1,1244,35,12,2,1111,106035,1689,7056,,0,59,,1491,,,0,653,21710,1891,,0,,0,0,10,,,,2,84,6,4,0,,3,0,47,,,,7,439,45,12,1,,3,0,78,,0,0,3,2002,92,954
2012-08-01,2012,8,57,11,271,0,2772,40,3,1,1661,92223,3136,7541,57,10,210,0,1189,40,3,0,1059,70823,1380,6573,,1,60,,1470,,,1,592,18968,1614,,0,,0,0,5,,,,0,79,7,6,0,,0,0,52,,,,8,371,45,8,0,,1,0,56,,0,0,2,1982,90,954
2012-09-01,2012,9,58,8,259,0,2709,50,4,0,1550,83399,3011,6540,58,6,195,0,1193,50,4,0,985,63266,1304,5719,,2,62,,1418,,,0,554,17927,1570,,0,,0,0,7,,,,1,61,4,4,0,,1,0,35,,,,7,349,41,10,0,,1,0,56,,0,0,3,1796,92,807
2012-10-01,2012,10,88,17,575,1,3008,47,11,3,1953,103195,3723,8525,88,16,489,1,1347,47,11,3,1217,78871,1669,7474,,1,83,,1543,,,0,709,21563,1906,,0,,1,0,7,,,,0,77,10,3,0,,0,0,41,,,,16,463,47,16,0,,2,0,70,,0,0,11,2221,91,1032
2012-11-01,2012,11,71,20,273,1,2694,39,5,0,1736,88978,3030,7237,70,19,210,1,1162,39,5,0,1095,67202,1339,6148,,1,56,,1428,,,0,620,19089,1535,,0,,0,0,7,,,,1,78,12,8,0,,3,0,37,,,,14,422,39,13,1,,4,0,60,,0,0,6,2187,105,1068
2012-12-01,2012,12,62,9,323,0,3297,38,4,0,1515,88327,2823,7700,62,9,249,0,1454,38,4,0,994,68452,1348,6720,,0,69,,1700,,,0,508,17388,1336,,0,,0,0,10,,,,0,68,7,9,0,,3,0,47,,,,7,411,30,8,0,,2,0,86,,0,0,6,2008,102,963
2013-01-01,2013,1,73,15,411,0,2139,51,1,0,1696,75065,3097,7404,73,15,337,0,944,51,1,0,1050,56115,1353,6397,,0,66,,1082,,,0,631,16466,1581,,0,,1,0,11,,,,2,79,10,4,0,,2,0,34,,,,7,385,46,5,0,,5,0,68,,0,0,6,2020,107,998
2013-02-01,2013,2,59,1,262,0,2138,36,3,0,1360,75065,2496,7254,59,1,219,0,995,36,3,0,844,56297,1116,6122,,0,40,,1035,,,0,506,16224,1281,,0,,0,0,7,,,,1,78,6,11,0,,2,0,25,,,,4,289,29,10,0,,1,0,76,,0,0,5,2177,64,1111
2013-03-01,2013,3,68,12,332,0,2012,62,10,1,1750,83123,2442,7893,68,12,271,0,928,62,10,1,1090,64022,1114,6673,,0,57,,986,,,0,633,16346,1218,,0,,0,0,3,,,,1,44,5,2,0,,0,0,32,,,,14,341,32,5,0,,4,0,63,,0,0,12,2370,73,1213
2013-04-01,2013,4,127,18,923,1,2602,58,10,0,1559,112137,4114,9868,127,17,820,1,1171,58,10,0,1026,86949,1878,8400,,1,97,,1316,,,0,518,21785,2036,,0,,0,0,5,,,,1,95,8,3,0,,0,0,35,,,,7,430,56,17,0,,6,0,75,,0,0,7,2878,136,1448
2013-05-01,2013,5,51,4,249,0,2231,41,6,0,1621,97694,3176,8754,50,3,184,0,944,41,6,0,1020,75104,1374,7396,,1,58,,1159,,,0,585,19466,1660,,0,,2,0,12,,,,3,104,10,8,0,,1,0,32,,,,9,431,51,11,1,,4,0,84,,0,0,4,2589,81,1339
2013-06-01,2013,6,53,5,260,0,2388,38,2,0,1454,113937,2930,7519,53,5,208,0,1062,38,2,0,905,93310,1352,6360,,0,50,,1231,,,0,535,18085,1456,,0,,0,0,3,,,,1,77,11,9,0,,1,0,29,,,,9,281,35,7,0,,1,0,63,,0,0,4,2184,76,1143
2013-07-01,2013,7,69,5,403,1,2987,46,7,0,1770,133337,3593,8976,68,4,337,1,1250,46,7,0,1125,109159,1649,7693,,1,62,,1592,,,0,624,20882,1765,,0,,2,0,6,,,,2,108,11,18,0,,0,0,50,,,,12,424,43,8,1,,2,0,89,,0,0,7,2764,125,1257
2013-08-01,2013,8,63,3,284,0,2612,40,1,1,1363,87256,2949,7737,63,3,226,0,1143,40,1,1,857,67036,1295,6546,,0,57,,1350,,,0,486,17346,1490,,0,,0,0,9,,,,1,79,8,7,0,,1,0,39,,,,8,355,34,9,0,,0,0,71,,0,0,11,2440,122,1175
2013-09-01,2013,9,61,4,278,0,2564,35,7,2,1391,84942,3008,7031,61,4,225,0,1152,35,7,1,888,65006,1299,5897,,0,48,,1309,,,1,487,17197,1543,,0,,0,0,7,,,,2,74,8,5,0,,3,0,27,,,,8,347,53,12,0,,2,0,69,,0,0,6,2318,105,1117
2013-10-01,2013,10,80,12,631,0,2955,60,18,0,1642,100229,3591,8562,80,12,530,0,1329,60,18,0,1027,76743,1553,7192,,0,95,,1495,,,0,599,20109,1845,,0,,2,0,6,,,,0,95,10,4,0,,2,0,34,,,,10,365,42,7,0,,2,0,91,,0,0,6,2917,141,1359
2013-11-01,2013,11,62,12,281,0,2650,44,3,1,1613,87284,2831,7766,62,12,226,0,1156,44,3,1,1029,66604,1339,6546,,0,49,,1353,,,0,565,17669,1351,,0,,1,0,10,,,,0,88,6,8,0,,2,0,41,,,,8,337,30,2,0,,3,0,90,,0,0,11,2586,105,1210
2013-12-01,2013,12,62,12,254,1,3136,46,3,2,1410,89872,2711,7895,60,12,195,1,1426,46,3,2,875,69743,1328,6667,,0,51,,1550,,,0,520,17102,1238,,0,,1,0,6,,,,0,80,8,5,0,,1,0,33,,,,8,437,40,12,2,,6,0,121,,0,0,7,2510,97,1211
2014-01-01,2014,1,52,8,394,0,2318,55,8,0,1525,80993,3220,8752,52,8,321,0,1057,55,8,0,963,61013,1437,7345,,0,71,,1116,,,0,547,16677,1596,,0,,1,0,2,,,,1,91,15,6,0,,0,0,35,,,,7,348,38,11,0,,1,0,108,,0,0,7,2864,134,1390
2014-02-01,2014,2,51,4,230,0,2073,48,8,0,1335,72870,2457,7456,51,4,182,0,942,48,8,0,860,54644,1138,6114,,0,44,,1014,,,0,465,15165,1181,,0,,0,0,12,,,,0,106,11,9,0,,1,0,28,,,,6,307,31,4,0,,3,0,77,,0,0,4,2648,96,1329
2014-03-01,2014,3,47,3,364,0,2084,51,6,1,1602,82981,2645,8667,46,2,308,0,1034,51,6,1,1007,63541,1178,7173,,1,50,,940,,,0,578,16055,1303,,0,,0,0,8,,,,0,81,7,9,0,,2,0,18,,,,4,368,39,7,1,,4,0,84,,0,0,13,2936,118,1478
2014-04-01,2014,4,128,10,817,0,2663,56,19,1,1423,111288,4258,11468,127,10,723,0,1180,56,19,1,849,85935,1913,9616,,0,85,,1338,,,0,554,21399,2147,,0,,3,0,7,,,,0,92,9,8,0,,2,0,48,,,,8,420,51,10,1,,4,0,90,,0,0,12,3442,138,1834
2014-05-01,2014,5,51,2,225,0,2299,39,5,0,1328,93128,3130,9308,51,2,173,0,1037,39,5,0,856,71610,1403,7737,,0,48,,1129,,,0,454,17768,1539,,0,,0,0,6,,,,2,79,12,3,0,,0,0,36,,,,7,378,38,10,0,,4,0,91,,0,0,9,3293,138,1558
2014-06-01,2014,6,42,0,258,0,2652,38,2,0,1405,117615,3188,8673,42,0,195,0,1167,38,2,0,910,95414,1388,7244,,0,58,,1332,,,0,482,18664,1623,,0,,1,0,10,,,,1,88,10,10,0,,3,0,46,,,,8,345,42,8,0,,1,0,97,,0,0,4,3104,125,1411
2014-07-01,2014,7,72,6,499,0,3002,39,3,0,1590,132489,3692,9610,72,6,432,0,1312,39,3,0,1005,107845,1627,7870,,0,65,,1538,,,0,567,20628,1839,,0,,0,0,12,,,,0,96,8,10,0,,1,0,47,,,,7,384,50,9,0,,1,0,93,,0,0,11,3536,168,1721
2014-08-01,2014,8,48,4,304,0,2633,56,5,0,1343,86775,2871,8163,48,4,247,0,1212,56,5,0,876,66880,1276,6717,,0,54,,1284,,,0,457,16343,1430,,0,,0,0,9,,,,1,71,2,9,0,,0,0,39,,,,4,341,47,8,0,,3,0,89,,0,0,5,3140,116,1429
2014-09-01,2014,9,70,2,321,0,2859,47,2,3,1345,91147,3155,8045,69,2,262,0,1221,47,2,3,865,69679,1424,6410,,0,59,,1466,,,0,467,17694,1562,,0,,0,0,7,,,,2,84,8,6,0,,0,0,41,,,,5,370,42,8,1,,0,0,124,,0,0,6,3320,119,1621
2014-10-01,2014,10,102,7,527,0,3070,55,8,2,1482,102354,3633,9485,100,6,457,0,1385,55,8,2,926,78705,1725,7565,,1,63,,1527,,,0,542,19578,1737,,0,,0,0,5,,,,0,88,6,6,0,,1,0,34,,,,8,353,36,13,2,,6,0,119,,0,0,6,3630,129,1901
2014-11-01,2014,11,62,4,232,1,2485,54,3,2,1293,80513,2597,7588,61,3,177,1,1105,54,3,1,833,60943,1171,5864,,1,51,,1219,,,1,450,15825,1257,,0,,0,0,7,,,,0,74,5,7,0,,0,0,30,,,,3,371,45,6,1,,4,0,124,,0,0,7,3300,119,1711
2014-12-01,2014,12,59,2,278,0,3199,40,4,1,1344,93855,2649,9429,59,2,217,0,1469,40,4,1,855,72226,1263,6984,,0,56,,1566,,,0,471,17047,1244,,0,,1,0,3,,,,3,88,8,10,0,,1,0,43,,,,4,373,33,10,0,,3,0,118,,0,0,11,4121,101,2425
2015-01-01,2015,1,48,8,413,1,2304,71,3,0,1296,86410,3308,9569,47,8,315,1,1073,71,3,0,837,65670,1585,7359,,0,83,,1086,,,0,451,16211,1532,,0,,1,0,4,,,,2,85,9,13,0,,0,0,40,,,,1,345,30,6,1,,14,0,101,,0,0,5,4099,152,2191
2015-02-01,2015,2,50,5,208,0,2233,50,2,1,1231,79608,2377,8308,48,5,174,0,1054,50,2,1,779,60218,1095,6400,,0,31,,1063,,,0,440,15444,1135,,0,,0,0,6,,,,2,92,9,8,0,,1,0,24,,,,5,315,30,10,2,,2,0,86,,0,0,5,3539,108,1890
2015-03-01,2015,3,67,5,353,0,2214,62,2,0,1571,94320,2761,9185,66,5,285,0,1070,62,2,0,1014,72721,1261,7206,,0,61,,976,,,0,541,16888,1320,,0,,0,0,8,,,,2,100,11,16,0,,1,0,36,,,,8,368,40,7,1,,6,0,124,,0,0,6,4243,129,1956
2015-04-01,2015,4,127,3,815,0,2566,61,15,3,1232,114477,4266,11111,127,3,723,0,1214,61,15,3,817,90036,2003,9107,,0,86,,1229,,,0,401,19794,2032,,0,,0,0,7,,,,1,79,7,8,0,,1,0,25,,,,6,362,51,4,0,,5,0,91,,0,0,7,4206,173,1992
